	LABEL	CF295	CF300	CF305	AT295	AT300	AT305	AZ295	AZ300	AZ305	Cr	Cb	Cg	Ca
10	ICON-LEM-CRM	0.9998796582221985	0.9989864230155945	0.9887051582336426	199.17645263671875	198.79273986816406	198.84689331054688	12.447267532348633	13.947267532348633	15.947267532348633	0.7411764705882353	0.6196078431372549	0.2235294117647059	1.0
11	ICON-LEM-VER	0.9981618523597717	0.9862931370735168	0.9165118336677551	198.0559539794922	198.57542419433594	199.92984008789062	13.75712776184082	14.357128143310547	15.557127952575684	0.9058823529411765	0.7294117647058823	0.3215686274509804	1.0
12	ICON-LEM-LES	0.9959840178489685	0.9859637022018433	0.8813682198524475	196.17259216308594	197.9514923095703	199.7496337890625	14.557127952575684	14.75712776184082	15.75712776184082	0.9058823529411765	0.796078431372549	0.5803921568627451	1.0
13	ICON-NWP-CRM	0.3236202001571655	0.31750261783599854	0.3237815797328949	217.93287658691406	219.76388549804688	220.0824737548828	9.447267532348633	10.447267532348633	11.947267532348633	0.5490196078431373	0.42745098039215684	0.19215686274509805	1.0
14	MESONH	0.16638632118701935	0.15484268963336945	0.15023267269134521	226.2562255859375	227.98666381835938	228.1354217529297	8.5	9.5	11.0	0.9019607843137255	0.3333333333333333	0.050980392156862744	1.0
15	MESONH-VER	0.16069000959396362	0.151884526014328	0.15155881643295288	227.01849365234375	226.71697998046875	227.25523376464844	8.600000381469727	9.800000190734863	11.199999809265137	0.9921568627450981	0.5529411764705883	0.23529411764705882	1.0
16	MESONH-LES	0.1840255856513977	0.19583098590373993	0.1937073916196823	223.6961212158203	223.7094268798828	223.66864013671875	8.800000190734863	10.0	11.399999618530273	0.9921568627450981	0.6823529411764706	0.4196078431372549	1.0
17	MicroHH	0.10714434087276459	0.10642614960670471	0.10964753478765488	209.9730682373047	211.28680419921875	210.09197998046875	11.5	12.5	14.0	0.596078431372549	0.3058823529411765	0.6392156862745098	1.0
18	MicroHH-VER	0.08017672598361969	0.08151911944150925	0.08156535029411316	217.69093322753906	217.1160125732422	216.8033447265625	10.600000381469727	11.800000190734863	13.199999809265137	0.5803921568627451	0.403921568627451	0.7411764705882353	1.0
19	MicroHH-LES	0.08080366253852844	0.07500218600034714	0.053224001079797745	200.37416076660156	201.06991577148438	201.2227783203125	12.399999618530273	13.399999618530273	14.600000381469727	0.7725490196078432	0.6901960784313725	0.8352941176470589	1.0
20	MPAS	0.16366799175739288	0.12693077325820923	0.10036012530326843	208.44776916503906	205.8912353515625	209.43759155273438	10.25	11.75	12.75	0.5019607843137255	0.6941176470588235	0.8274509803921568	1.0
21	SAM-CRM	0.2630043923854828	0.24131011962890625	0.2036760151386261	210.19314575195312	212.74160766601562	217.8679962158203	10.5	11.5	12.5	0.6784313725490196	0.28627450980392155	0.2901960784313726	1.0
22	SAM-CRM-VER	0.1252029985189438	0.11872939765453339	0.11010817438364029	213.0856170654297	210.9696807861328	207.74758911132812	10.199999809265137	11.800000190734863	14.0	0.8392156862745098	0.3803921568627451	0.4196078431372549	1.0
23	SAM-CRM-LES	0.2180652618408203	0.17829813063144684	0.13241927325725555	203.85032653808594	205.45578002929688	206.81069946289062	11.199999809265137	12.399999618530273	14.0	0.9058823529411765	0.5882352941176471	0.611764705882353	1.0
24	SCALE	0.23843081295490265	0.2481366991996765	0.21673476696014404	202.69082641601562	204.22601318359375	204.26597595214844	11.0	12.0	13.5	0.10588235294117647	0.6196078431372549	0.4666666666666667	1.0
25	UCLA-CRM	0.07803060114383698	0.08210611343383789	0.0625835582613945	216.7752685546875	216.04185485839844	217.70840454101562	11.0	12.5	14.0	1.0	0.9294117647058824	0.43529411764705883	1.0
26	UKMO-CASIM	0.2967666685581207	0.30498310923576355	0.3197093904018402	199.49383544921875	198.54254150390625	198.96646118164062	12.125	13.625760078430176	15.287474632263184	0.6470588235294118	0.3176470588235294	0.5803921568627451	1.0
27	UKMO-RA1-T-hrad	1.0	0.999999998611111	0.9999998319444446	188.2537173280697	189.6679955252889	194.1228030332444	15.538207500000002	17.276285	18.79331	0.807843137254902	0.42745098039215684	0.7411764705882353	1.0
28	UKMO-RA1-T	1.0	0.9999999944444444	0.9999997673611108	188.24191520453178	192.06085150954428	198.83389591696238	15.538207500000002	16.651285	17.276285	0.8705882352941177	0.6196078431372549	0.8392156862745098	1.0
29	UKMO-RA1-T-nocloud	1.0	1.0	0.9999998807907104	193.89935302734375	196.11410522460938	196.2206573486328	13.625760078430176	14.6643648147583	17.27628517150879	0.8901960784313725	0.4666666666666667	0.7607843137254902	1.0
30	WRF-COL-CRM	0.4447847008705139	0.45413410663604736	0.44226938486099243	210.6979217529297	211.0086212158203	208.9219207763672	11.054046548018688	12.341939453125	14.23838748275698	0.2235294117647059	0.23137254901960785	0.4745098039215686	1.0
