,LABEL,CF295,CF300,CF305,AT295,AT300,AT305,AZ295,AZ300,AZ305,Cr,Cb,Cg,Ca
10,UKMO-GA7.1,0.2784407436847687,0.21404479444026947,0.15714475512504578,200.4199523925781,205.3557586669922,216.1433868408203,12.610739707946776,13.798680305480955,14.413180351257324,0.4823529411764706,0.2549019607843137,0.4509803921568628,1.0
11,WRF-GCM-cps0,0.43206730484962463,0.3766230046749115,0.3191836178302765,206.30198669433602,210.1361083984375,215.0172882080078,12.14493465423584,13.45870304107666,14.99955940246582,0.4196078431372549,0.4313725490196079,0.8117647058823529,1.0
12,WRF-GCM-cps1,0.5482733249664307,0.5693820714950562,0.5504093170166016,206.4220428466797,209.44302368164062,209.57110595703125,12.148744583129885,13.438408851623535,16.276859283447266,0.611764705882353,0.6196078431372549,0.8705882352941177,1.0
13,WRF-GCM-cps2,0.3678390681743622,0.3487468659877777,0.3470795452594757,210.01531982421875,215.06874084472656,212.95892333984366,11.339593887329102,12.546292304992676,14.912016868591307,0.4588235294117647,0.4196078431372549,0.6941176470588235,1.0
14,WRF-GCM-cps3,0.41973525285720825,0.3790044784545897,0.3812658190727234,207.1126251220703,210.45948791503903,215.0035858154297,12.16565990447998,13.455309867858887,14.975333213806152,0.6196078431372549,0.6039215686274509,0.7843137254901961,1.0
15,WRF-GCM-cps4,0.3943492770195007,0.4122515916824341,0.4271379113197327,209.91531372070312,207.5998992919922,213.3823089599609,11.322251319885256,13.317691802978516,14.895833015441895,0.7372549019607844,0.7411764705882353,0.8627450980392157,1.0
16,WRF-GCM-cps6,0.4713705480098725,0.3935232162475586,0.2996874451637268,204.83120727539062,211.47976684570312,211.3578948974609,12.052138328552244,13.509885787963867,16.338773727416992,0.8549019607843137,0.8549019607843137,0.9215686274509804,1.0
17,CM1,0.6173225398232789,0.5151501890594177,0.4223692358574877,201.56663513183602,208.2220916748047,219.40316772460938,12.0,12.5,13.0,0.19215686274509805,0.5098039215686274,0.7411764705882353,1.0
18,DAM,0.989999973208162,0.99,0.99009900990099,199.36962599953952,204.57280723336902,210.87123250037558,18.0,19.5,21.5,0.4,0.7607843137254902,0.6470588235294118,1.0
19,FV3,0.4875568266837828,0.5053932436050907,0.6640130319902974,203.76914978027344,207.0518341064453,207.3577423095703,12.5024296875,13.9170810546875,15.953072265625,0.7372549019607844,0.7411764705882353,0.13333333333333333,1.0
20,ICON-LEM-CRM,0.7425885916949901,0.7838822964385991,0.7266991281217674,202.10997009277344,204.4739532470703,207.63766479492188,11.947267578125,12.947267578125,14.447267578125,0.7411764705882353,0.6196078431372549,0.2235294117647059,1.0
21,ICON-NWP-CRM,0.4430749593616077,0.5108482710211321,0.4806279370474362,200.2527008056641,200.6483459472656,203.41241455078125,11.947267578125,12.947267578125,14.447267578125,0.5490196078431373,0.4274509803921568,0.19215686274509805,1.0
22,MESONH,0.9998537890625,0.9766834765624998,0.9084501562499996,200.33868408203125,200.57843017578125,206.6361846923828,13.5,15.0,15.0,0.9019607843137256,0.3333333333333333,0.05098039215686274,1.0
23,MPAS,0.3626839017235057,0.3750428615083729,0.3121346167950129,202.2852020263672,211.23590087890625,204.06907653808602,11.5,12.0,14.0,0.5019607843137255,0.6941176470588235,0.8274509803921568,1.0
24,NICAM,1.0,1.0,1.0,250.34344482421875,247.3011474609375,249.5290069580078,6.36283203125,8.3628271484375,9.5628251953125,1.0,1.0,0.2,1.0
25,SAM-CRM,0.1449420664570119,0.11850851833230194,0.10665466761825107,209.10720825195312,214.6761474609375,218.67257690429688,11.0,12.0,13.5,0.6784313725490196,0.28627450980392155,0.2901960784313726,1.0
26,SAM-GCRM,0.1852980606799929,0.13221955162016938,0.10940609984392534,210.35765075683602,221.38931274414062,216.3524627685547,11.0,11.5,14.0,0.5176470588235295,0.2352941176470588,0.2235294117647059,1.0
27,SCALE,0.6216775512695313,0.5386634063720703,0.4493386840820313,202.27175903320312,205.9243011474609,208.4533233642578,11.5,12.5,14.0,0.10588235294117647,0.6196078431372549,0.4666666666666667,1.0
28,UCLA-CRM,0.999946275026948,0.9999532538151746,0.9999479514956288,248.77456665039062,249.0480194091797,247.2566375732422,7.5,9.0,11.0,1.0,0.9294117647058824,0.4352941176470588,1.0
29,UKMO-CASIM,0.5405470127865962,0.4465399029982364,0.3586714271935628,220.52572631835938,219.98341369628903,224.4673614501953,9.875,11.375,12.625,0.6470588235294118,0.3176470588235294,0.5803921568627451,1.0
30,UKMO-RA1-T,0.9887643986992952,0.893720065861993,0.9917550567680776,199.249189211168,201.5825790869304,204.286946750948,12.625,14.131699999999974,16.651284999999973,0.807843137254902,0.4274509803921568,0.7411764705882353,1.0
31,UKMO-RA1-T-nocloud,0.9089647059634038,0.8790020116843033,0.9936976755401236,202.97640991210938,204.5155334472656,203.5959014892578,12.125,13.6257529296875,16.651279296875,0.8901960784313725,0.4666666666666667,0.7607843137254902,1.0
32,WRF-COL-CRM,0.3445786803176024,0.2893069090936448,0.2602218778562215,203.9202880859375,212.95864868164062,211.1402740478516,12.1890478515625,12.5865771484375,14.5224326171875,0.2235294117647059,0.23137254901960785,0.4745098039215686,1.0
