	LABEL	RDFULL295	RDFULL300	RDFULL305	PAFULL295	PAFULL300	PAFULL305	ZGFULL295	ZGFULL300	ZGFULL305	TAFULL295	TAFULL300	TAFULL305	RD300S295	RD300S300	RD300S305	PA300S295	PA300S300	PA300S305	ZG300S295	ZG300S300	ZG300S305	TA300S295	TA300S300	TA300S305	RD300Q295	RD300Q300	RD300Q305	PA300Q295	PA300Q300	PA300Q305	ZG300Q295	ZG300Q300	ZG300Q305	TA300Q295	TA300Q300	TA300Q305	STAB295	STAB300	STAB305	S220295	S220300	S220305	Cr	Cb	Cg	Ca
10	SAM0-UNICON	0.3915386773356485	0.28992005310140734	0.2438966267903684	23382.51171875	19816.326171875	16824.04296875	10859.9541015625	12306.783203125	13806.494140625	210.5600128173828	212.93148803710938	216.22254943847656	0.25720201784289526	0.28992005310140734	0.281126608530175	23382.51171875	19816.326171875	16824.04296875	10859.9541015625	12306.783203125	13806.494140625	210.5600128173828	212.93148803710938	216.22254943847656	0.4289446352184151	0.28992005310140734	0.27848868798166077	23382.51171875	19816.326171875	19816.330078125	10859.9541015625	12306.783203125	12750.2236328125	210.5600128173828	212.93148803710938	224.30813598632812	39.42319308407605	56.340242736041546	83.6178136523813	25.24801529943943	42.471938650123775	83.6178136523813	0.5490196078431373	0.6352941176470588	0.3215686274509804	1.0
11	SAM-CRM	0.6682934269801626	0.5700159162039148	0.4704647063763654	24724.16015625	22373.853515625	17669.291015625	10500.0	11500.0	13500.0	213.4621124267578	218.82127380371094	218.67999267578125	0.449570696679601	0.5700159162039148	0.4267080595461022	22801.412109375	22373.853515625	20596.01953125	11000.0	11500.0	12500.0	209.1068572998047	218.82127380371094	226.83995056152344	0.7561860701720076	0.5700159162039148	0.3627167558810566	22801.412109375	22373.853515625	20596.01953125	11000.0	11500.0	12500.0	209.1068572998047	218.82127380371094	226.83995056152344	23.70746515225619	38.69997744914144	61.46208033896983	18.65404046839103	38.69997744914144	61.46208033896983	0.6784313725490196	0.28627450980392155	0.2901960784313726	1.0
12	SAM-GCRM	0.6323904471388483	0.4172982938322507	0.29382114979718643	22471.33203125	21861.53515625	13121.0009765625	11000.0	11500.0	14500.0	210.3456573486328	221.56153869628906	212.60409545898438	0.35567368481658357	0.4172982938322507	0.4241189195138798	20661.009765625	21861.53515625	20156.32421875	11500.0	11500.0	12000.0	206.07843017578125	221.56153869628906	232.91432189941406	0.6808782705278663	0.4172982938322507	0.200709772157219	20661.009765625	21861.53515625	20156.32421875	11500.0	11500.0	12000.0	206.07843017578125	221.56153869628906	232.91432189941406	33.88627083040774	60.70674862712622	130.98614290356636	22.33947452623397	60.70674862712622	100.18248576670885	0.5176470588235295	0.23529411764705882	0.2235294117647059	1.0
13	SCALE	0.8934516106675398	0.779449668525951	0.6729506369939995	26404.673828125	21918.173828125	18498.5078125	10000.0	11500.0	13000.0	214.3272705078125	213.5797119140625	215.92291259765625	0.5733618686038946	0.779449668525951	1.3113603007992036	22443.6171875	21918.173828125	23298.216796875	11000.0	11500.0	11500.0	205.9480743408203	213.5797119140625	228.18186950683594	1.5183206690350013	0.779449668525951	0.47046132468938173	26404.673828125	21918.173828125	21604.30078125	10000.0	11500.0	12000.0	214.3272705078125	213.5797119140625	224.08851623535156	24.123680486809462	43.993067811243236	62.42817617021501	19.396183779463172	29.614762752316892	51.21705471538007	0.10588235294117647	0.6196078431372549	0.4666666666666667	1.0
14	SP-CAM	0.521873165551225	0.45311112917660357	0.4206291818911087	22857.330078125	19426.234375	16512.15625	11004.0595703125	12375.1923828125	13858.626953125	210.7254638671875	211.41796875	214.5338897705078	0.37406243783222604	0.45311112917660357	0.5940389219093614	22857.330078125	19426.234375	19454.931640625	11004.0595703125	12375.1923828125	12810.88671875	210.7254638671875	211.41796875	222.96656799316406	0.5951043811117073	0.45311112917660357	0.29559827341887923	22857.330078125	19426.234375	19454.931640625	11004.0595703125	12375.1923828125	12810.88671875	210.7254638671875	211.41796875	222.96656799316406	37.986208917573094	55.29667250812054	85.4458601679653	23.17861217306927	35.298935836181045	56.82628252543509	0.09019607843137255	0.7450980392156863	0.8117647058823529	1.0
15	SPX-CAM	0.568325261667871	0.43901338203796847	0.37726460242711596	22855.5390625	19427.080078125	16513.373046875	11068.1796875	12525.384765625	14023.0859375	212.43312072753906	215.61817932128906	219.36129760742188	0.3113619831491187	0.43901338203796847	0.5216020407666506	22855.5390625	19427.080078125	19455.849609375	11068.1796875	12525.384765625	12953.1142578125	212.43312072753906	215.61817932128906	227.57032775878906	0.6355714838960392	0.43901338203796847	0.25960999501059406	22855.5390625	19427.080078125	16513.373046875	11068.1796875	12525.384765625	14023.0859375	212.43312072753906	215.61817932128906	219.36129760742188	35.36525182425976	58.015831746160984	98.86365151032805	23.710950335953385	1066.8297298252583	98.86365151032805	0.6196078431372549	0.8549019607843137	0.8980392156862745	1.0
16	UKMO-GA7.1	0.6002597847160502	0.4546356114620979	0.31833801796371713	23536.57421875	19260.70703125	17150.955078125	10930.1240234375	12610.7392578125	13798.6806640625	214.4744415283203	214.9139404296875	220.92669677734375	0.37013008986805473	0.4546356114620979	0.5491445904408935	21551.72265625	19260.70703125	18802.166015625	11476.9052734375	12610.7392578125	13197.9072265625	209.6644287109375	214.9139404296875	225.71084594726562	0.7204192919495702	0.4546356114620979	0.26967655537486374	21551.72265625	19260.70703125	20530.96875	11476.9052734375	12610.7392578125	12610.7392578125	209.6644287109375	214.9139404296875	230.4290008544922	24.719120119698346	44.73114386200905	71.52913021855056	21.59637660952285	37.03328547999263	71.52913021855056	0.4823529411764706	0.2549019607843137	0.45098039215686275	1.0
17	UKMO-CASIM	0.8165286813359752	0.6236199385234686	0.518194747070483	25354.912109375	22835.44921875	20028.802734375	10375.0	11375.0	12625.0	216.03038024902344	219.87062072753906	224.43313598632812	0.41894007748798207	0.6236199385234686	0.9679358559099946	23409.978515625	22835.44921875	22414.412109375	10875.0	11375.0	11875.0	211.71734619140625	219.87062072753906	230.56292724609375	1.1601855960806102	0.6236199385234686	0.2888147502917433	25354.912109375	22835.44921875	22414.412109375	10375.0	11375.0	11875.0	216.03038024902344	219.87062072753906	230.56292724609375	23.701746249571443	31.47255629301071	54.815056500956416	18.43311038101092	31.47255629301071	68.56776308268309	0.6470588235294118	0.3176470588235294	0.5803921568627451	1.0
18	UKMO-RA1-T	0.9348230568019843	0.655586540709041	0.4804875042450351	22609.032495070067	18983.300204365834	16935.90039492046	11125.0	12625.0	13877.385	210.6283479930904	212.11725264050003	220.03837558562364	0.5207248128969566	0.655586540709041	1.0079698710213312	20831.29683158667	18983.300204365834	20474.109565501978	11625.0	12625.0	12625.0	206.25094611512404	212.11725264050003	230.64703691511326	1.0837421347199057	0.655586540709041	0.32032271149424296	22609.032495070067	18983.300204365834	19000.739965094257	11125.0	12625.0	13125.055	210.6283479930904	212.11725264050003	226.42481931008905	22.141014707680185	38.08342208926296	51.251906520518894	15.341705646739504	24.49720941428929	51.251906520518894	0.807843137254902	0.42745098039215684	0.7411764705882353	1.0
19	UKMO-RA1-T-nocloud	0.7728628568003537	0.5679313627404415	0.430256788296538	24396.107421875	20417.67578125	17983.232421875	10625.0	12125.0	13375.21484375	214.21192932128906	214.9617462158203	220.2040557861328	0.41151359795222653	0.5679313627404415	0.9633238654060371	21608.275390625	20417.67578125	21732.15234375	11375.0	12125.0	12125.0	207.9070587158203	214.9617462158203	230.6113739013672	0.981503401613589	0.5679313627404415	0.2617131084821827	24396.107421875	20417.67578125	20168.32421875	10625.0	12125.0	12625.0	214.21192932128906	214.9617462158203	226.44288635253906	24.362027761526406	37.40122192539275	56.50710663758218	17.233367543667555	27.85657998174429	56.50710663758218	0.8901960784313725	0.4666666666666667	0.7607843137254902	1.0
